param_clf__C,mean_test_score,std_test_score,rank_test_score,model,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators
0.1,0.6831257911440706,0.010671619150094127,1,logreg_smote,,,
1.0,0.6828611083218773,0.011108617358652132,2,logreg_smote,,,
10.0,0.6828270878632937,0.011136908772690211,3,logreg_smote,,,
,0.7209701837387152,0.004369078279702698,1,xgb_smote,0.2,3.0,400.0
,0.7201056126693247,0.0035056962251773095,2,xgb_smote,0.05,6.0,200.0
,0.7198865928741413,0.0032233149710244793,3,xgb_smote,0.2,3.0,200.0
,0.7194868025038804,0.0029070925233912266,4,xgb_smote,0.05,6.0,400.0
,0.7183585050685264,0.0035408284415221624,5,xgb_smote,0.05,3.0,400.0
,0.7171519197795552,0.0034035450103747917,6,xgb_smote,0.05,3.0,200.0
,0.7159086380813711,0.003737158285486115,7,xgb_smote,0.2,6.0,200.0
,0.7062331041883985,0.0035098226553162224,8,xgb_smote,0.2,6.0,400.0
,0.7232737433489721,0.004952039940223516,1,xgb_weighted,0.05,3.0,200.0
,0.7227020216627534,0.004950431751175645,2,xgb_weighted,0.05,3.0,400.0
,0.7213186355486622,0.004292286939012215,3,xgb_weighted,0.2,3.0,200.0
,0.720551100882164,0.004544270937754647,4,xgb_weighted,0.05,6.0,200.0
,0.7200220955393001,0.004667165191350397,5,xgb_weighted,0.2,3.0,400.0
,0.7180264527588025,0.004141464111055072,6,xgb_weighted,0.05,6.0,400.0
,0.7086389695942823,0.004830627797219011,7,xgb_weighted,0.2,6.0,200.0
,0.6961672043975774,0.004414069322791573,8,xgb_weighted,0.2,6.0,400.0
