,gain,weight
V14,0.503466010093689,0.061608471164785156
V10,0.0811326652765274,0.04585630524197077
V4,0.06031302362680435,0.05364487617047344
V12,0.035288114100694656,0.04428108864968933
V8,0.029751135036349297,0.03710510195151833
V19,0.02426338382065296,0.033867156734050934
V3,0.022061659023165703,0.038680318543799774
V13,0.019230931997299194,0.029491555088824714
V17,0.017234304919838905,0.028091362562352323
V11,0.015713565051555634,0.03955543887284502
V20,0.01416278351098299,0.023103176686794433
V18,0.01405991893261671,0.03132930777981972
V26,0.013350235298275948,0.04121816749803098
V15,0.01257618423551321,0.02607858580554826
Amount,0.011289372108876705,0.035967445523759516
V27,0.011128978803753853,0.029053994924302093
V7,0.01108739897608757,0.03342959656952831
V2,0.010942691005766392,0.021702984160322045
V21,0.00969629641622305,0.02380327295003063
V9,0.009277055971324444,0.02704121816749803
V23,0.008919257670640945,0.022753128555176336
V16,0.008656387217342854,0.029491555088824714
V22,0.008294298313558102,0.033867156734050934
V25,0.008214046247303486,0.024153321081648728
V5,0.0076411692425608635,0.0280038505294478
Time,0.007018394768238068,0.035529885359236894
V28,0.0069005754776299,0.03141681981272425
V1,0.0065189446322619915,0.029929115253347335
V6,0.0064981854520738125,0.02380327295003063
V24,0.005312961060553789,0.036142469589568564
