,gain,weight
device_transaction_count,0.5228566527366638,0.19491525423728814
device_user_count,0.1707374006509781,0.028505392912172575
time_since_signup,0.1546173095703125,0.22033898305084745
device_velocity_24h,0.019475234672427177,0.06394453004622497
source_Direct,0.017715100198984146,0.02773497688751926
browser_IE,0.006438843905925751,0.0030816640986132513
country_Italy,0.005754510872066021,0.00539291217257319
browser_Chrome,0.0054850149899721146,0.00539291217257319
browser_Safari,0.005356223322451115,0.004622496147919877
browser_Opera,0.005349170416593552,0.0007704160246533128
country_France,0.005153172183781862,0.00847457627118644
sex_F,0.005064292345196009,0.004622496147919877
country_Korea Republic of,0.00482778437435627,0.006933744221879815
country_United Kingdom,0.004754479508846998,0.0023112480739599386
country_China,0.004736469592899084,0.004622496147919877
day_of_week,0.004584027454257011,0.04391371340523883
browser_FireFox,0.0045415135100483894,0.0023112480739599386
country_Japan,0.004496535751968622,0.013097072419106317
country_Brazil,0.00437956815585494,0.00847457627118644
country_Australia,0.0043348632752895355,0.00539291217257319
age,0.004186610225588083,0.08859784283513097
purchase_value,0.004141860641539097,0.13020030816640987
country_Russian Federation,0.003530794056132436,0.014637904468412942
hour_of_day,0.003494500881060958,0.05161787365177196
country_infrequent_sklearn,0.003421300556510687,0.01848998459167951
country_Netherlands,0.003352349391207099,0.0015408320493066256
country_Germany,0.0033461679704487324,0.01386748844375963
country_Canada,0.003080556867644191,0.0030816640986132513
source_SEO,0.0030665567610412836,0.010015408320493066
source_Ads,0.002942380728200078,0.0023112480739599386
country_Unknown,0.0025806245394051075,0.003852080123266564
country_United States,0.0021981345489621162,0.006933744221879815
user_transaction_count,0.0,0.0
sex_M,0.0,0.0
