bucket,n,mean_shap,direction,feature
"(-18.05, -1.003]",5674,-0.0076061394,toward legit,V14
"(-1.003, -0.419]",8512,-1.175699,toward legit,V14
"(-0.419, 0.056]",14186,-2.4393592,toward legit,V14
"(0.056, 0.495]",14186,-3.124725,toward legit,V14
"(0.495, 0.985]",8512,-3.361927,toward legit,V14
"(0.985, 7.755]",5675,-3.6282299,toward legit,V14
"(-5.416, -1.657]",5674,-3.4650304,toward legit,V4
"(-1.657, -0.854]",8512,-3.2968793,toward legit,V4
"(-0.854, -0.0232]",14186,-1.87102,toward legit,V4
"(-0.0232, 0.733]",14186,-0.93066907,toward legit,V4
"(0.733, 1.472]",8512,-0.41674668,toward legit,V4
"(1.472, 15.304]",5675,0.95921713,toward fraud,V4
"(-18.684, -1.179]",5674,0.20612839,toward fraud,V12
"(-1.179, -0.41]",8512,-0.2575157,toward legit,V12
"(-0.41, 0.143]",14186,-0.8757587,toward legit,V12
"(0.143, 0.619]",14186,-1.3284708,toward legit,V12
"(0.619, 1.017]",8512,-1.6700597,toward legit,V12
"(1.017, 4.574]",5675,-1.7809582,toward legit,V12
