,gain,mean_abs_shap,gain_rank,shap_rank,rank_gap
V14,0.503466010093689,2.5345879,1,1,0
V4,0.06031302362680435,1.7061106,3,2,1
V12,0.035288114100694656,1.0529301,4,3,1
V10,0.0811326652765274,0.9001066,2,4,-2
V11,0.015713565051555634,0.802239,10,5,5
V3,0.022061659023165703,0.73797417,7,6,1
V8,0.029751135036349297,0.5153288,5,7,-2
V19,0.02426338382065296,0.45185998,6,8,-2
V5,0.0076411692425608635,0.3315316,25,9,16
V1,0.0065189446322619915,0.32755658,28,10,18
V26,0.013350235298275948,0.32616675,13,11,2
Amount,0.011289372108876705,0.31382272,15,12,3
V18,0.01405991893261671,0.31045324,12,13,-1
V28,0.0069005754776299,0.30736068,27,14,13
V21,0.00969629641622305,0.29978588,19,15,4
