,gain,mean_abs_shap,gain_rank,shap_rank,rank_gap
device_transaction_count,0.5228566527366638,0.93580234,1,1,0
time_since_signup,0.1546173095703125,0.43215248,3,2,1
device_velocity_24h,0.019475234672427177,0.11359361,4,3,1
device_user_count,0.1707374006509781,0.07758933,2,4,-2
purchase_value,0.004141860641539097,0.0318912,22,5,17
source_Direct,0.017715100198984146,0.026708592,5,6,-1
day_of_week,0.004584027454257011,0.025452092,16,7,9
age,0.004186610225588083,0.023026623,21,8,13
hour_of_day,0.003494500881060958,0.01771719,24,9,15
source_SEO,0.0030665567610412836,0.014158332,29,10,19
country_Japan,0.004496535751968622,0.007954972,18,11,7
country_infrequent_sklearn,0.003421300556510687,0.005224366,25,12,13
country_Germany,0.0033461679704487324,0.0044778353,27,13,14
country_France,0.005153172183781862,0.0035633594,11,14,-3
browser_Chrome,0.0054850149899721146,0.0034999328,8,15,-7
