feature,value,shap,direction,case,fraud_score
V14,-13.694873039573,4.7969193,toward fraud,true_positive,0.9999985694885254
V10,-12.8056831898117,2.0903568,toward fraud,true_positive,0.9999985694885254
V12,-13.0642398936784,1.9868484,toward fraud,true_positive,0.9999985694885254
V4,8.92511547634157,1.3798009,toward fraud,true_positive,0.9999985694885254
V17,-20.5835927904158,0.6982063,toward fraud,true_positive,0.9999985694885254
V7,-12.7032526593299,0.63946825,toward fraud,true_positive,0.9999985694885254
V14,-7.10963819536638,4.9368362,toward fraud,false_positive,0.9999898672103882
V10,-5.62201171242542,2.0508614,toward fraud,false_positive,0.9999898672103882
V12,-7.10450164574621,1.6931132,toward fraud,false_positive,0.9999898672103882
V4,3.80279800189565,1.1615071,toward fraud,false_positive,0.9999898672103882
V28,0.847692727616945,-0.78375185,toward legit,false_positive,0.9999898672103882
V17,-12.1292714110065,0.66760015,toward fraud,false_positive,0.9999898672103882
V14,-0.0077912302905812,-2.11494,toward legit,false_negative,4.365926542959642e-06
V12,0.687487636238951,-1.5249635,toward legit,false_negative,4.365926542959642e-06
V11,-0.876737591678351,-1.3326093,toward legit,false_negative,4.365926542959642e-06
V15,0.948315691837591,-1.0217105,toward legit,false_negative,4.365926542959642e-06
V3,0.193963067987499,-0.9307035,toward legit,false_negative,4.365926542959642e-06
V10,-0.0450882478448673,-0.82625574,toward legit,false_negative,4.365926542959642e-06
V4,-1.33675990090236,-3.3837945,toward legit,true_negative,5.609086173308242e-08
V14,1.13340561493603,-3.2036862,toward legit,true_negative,5.609086173308242e-08
V12,1.19384261889699,-1.8685946,toward legit,true_negative,5.609086173308242e-08
V8,0.545397215203407,-1.1295898,toward legit,true_negative,5.609086173308242e-08
V28,0.437986736356297,-1.0482596,toward legit,true_negative,5.609086173308242e-08
V10,0.765725508422369,-0.9266112,toward legit,true_negative,5.609086173308242e-08
