,mean_abs_shap,mean_signed_shap
V14,2.5345879,-2.4351513
V4,1.7061106,-1.5080503
V12,1.0529301,-0.99764943
V10,0.9001066,-0.8456242
V11,0.802239,-0.7721968
V3,0.73797417,-0.7213843
V8,0.5153288,-0.44063643
V19,0.45185998,-0.39615744
V5,0.3315316,-0.31573394
V1,0.32755658,-0.294897
V26,0.32616675,-0.3167942
Amount,0.31382272,-0.27579626
V18,0.31045324,-0.30343392
V28,0.30736068,-0.24525096
V21,0.29978588,-0.22960049
V7,0.2788448,-0.24036722
V24,0.26394728,-0.24562126
V15,0.2638675,-0.23843002
V16,0.25969425,-0.20261627
V22,0.25064513,-0.20824435
Time,0.2495199,-0.18475182
V13,0.23624499,-0.22345243
V17,0.23585042,-0.21966726
V9,0.21682507,-0.21226846
V27,0.21669531,-0.20647663
V25,0.19879217,-0.19277544
V20,0.18362284,-0.15911013
V23,0.17073359,-0.14752203
V6,0.16929448,-0.15229312
V2,0.15224017,-0.14704394
