,mean_abs_shap,mean_signed_shap
device_transaction_count,0.93580234,-0.60049367
time_since_signup,0.43215248,-0.019464718
device_velocity_24h,0.11359361,0.085264325
device_user_count,0.07758933,-0.050626613
purchase_value,0.0318912,-0.0032173754
source_Direct,0.026708592,-0.0034485483
day_of_week,0.025452092,-0.001919621
age,0.023026623,-0.0025748853
hour_of_day,0.01771719,-0.0011952
source_SEO,0.014158332,-0.00019021587
country_Japan,0.007954972,-0.000490446
country_infrequent_sklearn,0.005224366,-0.002048358
country_Germany,0.0044778353,-0.00034755174
country_France,0.0035633594,-0.00012388935
browser_Chrome,0.0034999328,-9.2818984e-05
country_Russian Federation,0.0026726448,-0.00020974163
country_Brazil,0.002530095,-0.00017125507
sex_F,0.0020067021,-0.00014380483
browser_IE,0.0018805676,-0.0001194524
browser_FireFox,0.0015598043,-3.0121902e-05
country_Unknown,0.0014998944,-5.2391566e-05
country_Australia,0.0013822749,-8.0639984e-05
browser_Safari,0.0011697724,-0.00016305006
source_Ads,0.001139801,-6.677259e-05
country_China,0.001082882,-9.1409434e-05
country_United States,0.0010681526,-0.0003236751
country_Korea Republic of,0.0010060797,-0.000108051216
country_United Kingdom,0.0009781735,-6.6406115e-05
country_Canada,0.00090598094,-7.445191e-05
country_Netherlands,0.00042538514,-1.6811373e-05
country_Italy,0.00029568461,-0.00013546877
browser_Opera,7.730669e-05,-1.8784165e-05
user_transaction_count,0.0,0.0
sex_M,0.0,0.0
